,Chime,Messenger,Riot,Skype,slack
0,'mscoree.dll','GDI32.dll','KERNEL32.dll','ffmpeg.dll','KERNEL32.dll'
1,'_CorExeMain','GetCharABCWidthsW','GetModuleFileNameW','av_buffer_create','FindNextFileW'
2,,'GetGlyphOutlineW','GetModuleHandleW','av_buffer_get_opaque','FindClose'
3,,'GetOutlineTextMetricsW','FindFirstFileW','av_dict_get','CreateProcessW'
4,,'GetFontUnicodeRanges','FindNextFileW','av_dict_set','FindFirstFileW'
5,,'GetGlyphIndicesW','FindClose','av_frame_alloc','GetModuleHandleW'
6,,'GetTextExtentPointI','CreateProcessW','av_frame_free','CreateFileW'
7,,'AddFontMemResourceEx','WriteConsoleW','av_frame_unref','WriteConsoleW'
8,,'RemoveFontMemResourceEx','FlushFileBuffers','av_free','WideCharToMultiByte'
9,,'SetTextAlign','SetFilePointerEx','av_get_bytes_per_sample','MultiByteToWideChar'
10,,'ExcludeClipRect','WideCharToMultiByte','av_get_cpu_flags','GetStringTypeW'
11,,'EqualRgn','MultiByteToWideChar','av_image_check_size','EncodePointer'
12,,'GetBkColor','GetStringTypeW','av_init_packet','DecodePointer'
13,,'StretchBlt','EncodePointer','av_log_set_level','EnterCriticalSection'
14,,'CreateSolidBrush','DecodePointer','av_malloc','LeaveCriticalSection'
15,,'GetDIBits','EnterCriticalSection','av_max_alloc','DeleteCriticalSection'
16,,'GetRgnBox','LeaveCriticalSection','av_new_packet','SetLastError'
17,,'EndPage','DeleteCriticalSection','av_packet_copy_props','InitializeCriticalSectionAndSpinCount'
18,,'StartPage','SetLastError','av_packet_get_side_data','CreateEventW'
19,,'SaveDC','InitializeCriticalSectionAndSpinCount','av_packet_unref','TlsAlloc'
20,,'RestoreDC','CreateEventW','av_read_frame','TlsGetValue'
21,,'SetAbortProc','TlsAlloc','av_rescale_q','TlsSetValue'
22,,'EndDoc','TlsGetValue','av_samples_get_buffer_size','TlsFree'
23,,'StartDocW','TlsSetValue','av_seek_frame','GetSystemTimeAsFileTime'
24,,'CancelDC','TlsFree','av_strerror','GetProcAddress'
25,,'GetWorldTransform','GetSystemTimeAsFileTime','avcodec_align_dimensions','LCMapStringW'
26,,'SetEnhMetaFileBits','GetProcAddress','avcodec_alloc_context3','GetLocaleInfoW'
27,,'PlayEnhMetaFileRecord','LCMapStringW','avcodec_descriptor_get','GetCPInfo'
28,,'PlayEnhMetaFile','GetLocaleInfoW','avcodec_find_decoder','CloseHandle'
29,,'GetEnhMetaFileHeader','GetCPInfo','avcodec_flush_buffers','SetEvent'
30,,'GetEnhMetaFileBits','CloseHandle','avcodec_free_context','ResetEvent'
31,,'ExtEscape','SetEvent','avcodec_open2','WaitForSingleObjectEx'
32,,'SwapBuffers','ResetEvent','avcodec_parameters_to_context','UnhandledExceptionFilter'
33,,'SetPixelFormat','WaitForSingleObjectEx','avcodec_receive_frame','SetUnhandledExceptionFilter'
34,,'ChoosePixelFormat','UnhandledExceptionFilter','avcodec_send_packet','GetCurrentProcess'
35,,'SetDIBitsToDevice','SetUnhandledExceptionFilter','avformat_alloc_context','TerminateProcess'
36,,'EnumEnhMetaFile','GetCurrentProcess','avformat_close_input','IsProcessorFeaturePresent'
37,,'GetICMProfileW','TerminateProcess','avformat_find_stream_info','IsDebuggerPresent'
