,api name,counter
0,'QuerySecurityPackageInfoW',1
1,'CryptUnprotectData',1
2,'GetThreadLocale',1
3,'RegOpenKeyExA',1
4,'WriteConsoleInputW',1
5,'waveOutWrite',1
6,'CompareStringW',1
7,'CryptEncodeObjectEx',1
8,'ImmDisableTextFrameService',1
9,'midiInUnprepareHeader',1
10,'OutputDebugStringA',1
11,'CLSIDFromString',1
12,'waveOutReset',1
13,'ioctlsocket',1
14,'GetCommandLineW',1
15,'GetNumberFormatW',1
16,'WSASocketW',1
17,'SHStrDupW',1
18,'DecodePointer',1
19,'SetCommMask',1
20,'CertOpenStore',1
21,'SetEntriesInAclW',1
22,'GetICMProfileW',1
23,'StartTraceW',1
24,'ntohs',1
25,'FindFirstFileW',1
26,'UnregisterWaitEx',1
27,'RtlCaptureStackBackTrace',1
28,'CreateRectRgnIndirect',1
29,'GetSecurityInfo',1
30,'CreateToolhelp32Snapshot',1
31,'PlayEnhMetaFileRecord',1
32,'DeleteEnhMetaFile',1
33,'OleInitialize',1
34,'MoveFileW',1
35,'FreeCredentialsHandle',1
36,'CreateDCA',1
37,'GetSystemDirectoryA',1
38,'VirtualQuery',1
39,'ExitProcess',1
40,'WSAResetEvent',1
41,'ScriptShape',1
42,'SetBkColor',1
43,'FillConsoleOutputCharacterW',1
44,'CreateCompatibleDC',1
45,'CreateThread',1
46,'GetSystemDirectoryW',1
47,'RegisterEventSourceW',1
48,'Process32FirstW',1
49,'DeviceIoControl',1
50,'ScriptLayout',1
51,'OpenFileMappingW',1
52,'PathToRegion',1
53,'CertGetCertificateChain',1
54,'InitializeSecurityContextW',1
55,'DuplicateToken',1
56,'GetEnhMetaFileHeader',1
57,'GetConsoleMode',1
58,'WS2_32.dll',1
59,'GetDIBits',1
60,'MapViewOfFile',1
61,'htons',1
62,'midiInPrepareHeader',1
63,'SetThreadExecutionState',1
64,'GetQueuedCompletionStatus',1
65,'VirtualQueryEx',1
66,'CertFreeCertificateContext',1
67,'GetGeoInfoA',1
68,'CreateIoCompletionPort',1
69,'SetConsoleCursorInfo',1
70,'VirtualAlloc',1
71,'waveInGetNumDevs',1
72,'CertAddEncodedCertificateToStore',1
73,'CertCreateCertificateChainEngine',1
74,'CryptSignHashW',1
75,'HeapSize',1
76,'GetCurrentThreadId',1
77,'GetFileSize',1
78,'GetSaveFileNameW',1
79,'CreateProcessAsUserW',1
80,'StretchBlt',1
81,'PrintDlgExW',1
82,'QueryDosDeviceW',1
83,'MoveFileExW',1
84,'ReadConsoleW',1
85,'ClearCommError',1
86,'ProcessIdToSessionId',1
87,'GetCurrentProcess',1
88,'getpeername',1
89,'GetStdHandle',1
90,'SetMapMode',1
91,'FindNextFileW',1
92,'GetEnhMetaFileBits',1
93,'COMDLG32.dll',1
94,'CreateSemaphoreA',1
95,'SetRectRgn',1
96,'SetSecurityDescriptorDacl',1
97,'VerQueryValueW',1
98,'PurgeComm',1
99,'GetVolumePathNameW',1
100,'EqualSid',1
101,'CertCloseStore',1
102,'CreateWaitableTimerW',1
103,'UnhandledExceptionFilter',1
104,'GetFontUnicodeRanges',1
105,'RegEnumValueW',1
106,'FormatMessageA',1
107,'CombineRgn',1
108,'GetFullPathNameW',1
109,'ReadFile',1
110,'EnumProcessModules',1
111,'WSASend',1
112,'GetAddrInfoW',1
113,'AcquireCredentialsHandleW',1
114,'timeSetEvent',1
115,'GDI32.dll',1
116,'GetStockObject',1
117,'GetProcAddress',1
118,'ConvertStringSidToSidW',1
119,'RegDeleteValueW',1
120,'CreateFontW',1
121,'CloseEnhMetaFile',1
122,'NotifyAddrChange',1
123,'CopySid',1
124,'UuidCreateSequential',1
125,'OleDuplicateData',1
126,'TlsFree',1
127,'CreateNamedPipeA',1
128,'ProcessTrace',1
129,'CreateRemoteThread',1
130,'ScriptStringOut',1
131,'OutputDebugStringW',1
132,'GetSystemTime',1
133,'lstrcmpiA',1
134,'CompleteAuthToken',1
135,'GetFileVersionInfoW',1
136,'DeleteCriticalSection',1
137,'PropVariantClear',1
138,'waveInMessage',1
139,'GetProcessAffinityMask',1
140,'WaitForMultipleObjects',1
141,'TlsAlloc',1
142,'SetROP2',1
143,'LoadLibraryExW',1
144,'GetLocaleInfoW',1
145,'SetPolyFillMode',1
146,'ReadConsoleInputA',1
147,'waveOutPrepareHeader',1
148,'RegisterDragDrop',1
149,'GetTraceLoggerHandle',1
150,'FreeEnvironmentStringsW',1
151,'QueryInformationJobObject',1
152,'FlushFileBuffers',1
153,'GetNameInfoW',1
154,'CreateSolidBrush',1
155,'RevertToSelf',1
156,'RegDisablePredefinedCache',1
157,'RegisterWaitForSingleObject',1
158,'WSACreateEvent',1
159,'timeEndPeriod',1
160,'SystemTimeToTzSpecificLocalTime',1
161,'getsockname',1
162,'KERNEL32.dll',1
163,'DeregisterEventSource',1
164,'GetProcessHeap',1
165,'SetConsoleMode',1
166,'CryptGenRandom',1
167,'GetTextMetricsW',1
168,'OpenPrinterW',1
169,'SwitchToThread',1
170,'ResumeThread',1
171,'SetStretchBltMode',1
172,'GlobalSize',1
173,'CoUninitialize',1
174,'ImmSetOpenStatus',1
175,'FindClose',1
176,'waveInGetDevCapsW',1
177,'shutdown',1
178,'GetFullPathNameA',1
179,'GetCurrencyFormatW',1
180,'WSAGetOverlappedResult',1
181,'GetConsoleCP',1
182,'GetComputerNameExW',1
183,'GetProcessMemoryInfo',1
184,'CertCompareCertificateName',1
185,'TlsSetValue',1
186,'WSASetServiceW',1
187,'ReleaseSemaphore',1
188,'SetUnhandledExceptionFilter',1
189,'IsProcessInJob',1
190,'WTSRegisterSessionNotification',1
191,'closesocket',1
192,'SuspendThread',1
193,'midiOutShortMsg',1
194,'SignalObjectAndWait',1
195,'midiInOpen',1
196,'TlsGetValue',1
197,'CreateRectRgn',1
198,'SetAbortProc',1
199,'RegisterTraceGuidsW',1
200,'GetTraceEnableFlags',1
201,'CreateEventW',1
202,'EncodePointer',1
203,'OpenTraceW',1
204,'ReleaseMutex',1
205,'freeaddrinfo',1
206,'GetModuleFileNameA',1
207,'GetHGlobalFromStream',1
208,'waveOutOpen',1
209,'PolyBezier',1
210,'GetTextFaceW',1
211,'SystemTimeToFileTime',1
212,'urlmon.dll',1
213,'SetConsoleTitleW',1
214,'MultiByteToWideChar',1
215,'GetSystemTimeAsFileTime',1
216,'ReadProcessMemory',1
217,'GetPrivateProfileStringW',1
218,'MoveFileA',1
219,'GetCurrentObject',1
220,'AbortPath',1
221,'RegQueryValueExA',1
222,'GetLongPathNameW',1
223,'midiOutGetDevCapsW',1
224,'GetPrinterW',1
225,'GetProcessTimes',1
226,'SetFileTime',1
227,'ReplaceFileW',1
228,'VirtualFree',1
229,'getservbyport',1
230,'TerminateJobObject',1
231,'WSASetLastError',1
232,'CreateFontIndirectW',1
233,'UnlockFile',1
234,'CreateEnhMetaFileW',1
235,'ImmAssociateContextEx',1
236,'GetSecurityDescriptorSacl',1
237,'SetSecurityInfo',1
238,'AccessibleObjectFromWindow',1
239,'USERENV.dll',1
240,'SystemFunction036',1
241,'SearchPathW',1
242,'ADVAPI32.dll',1
243,'DebugBreak',1
244,'connect',1
245,'FileTimeToSystemTime',1
246,'SysStringLen',1
247,'ConnectNamedPipe',1
248,'SysAllocString',1
249,'LCMapStringW',1
250,'WaitNamedPipeW',1
251,'ImmNotifyIME',1
252,'RegSetValueExA',1
253,'QueryPerformanceFrequency',1
254,'EqualRgn',1
255,'midiInStart',1
256,'FindFirstFileExW',1
257,'SetConsoleCursorPosition',1
258,'GetTextExtentPoint32W',1
259,'waveOutClose',1
260,'socket',1
261,'StretchDIBits',1
262,'accept',1
263,'ne,1
264,'CertFreeCertificateChain',1
265,'RpcStringFreeW',1
266,'WSADuplicateSocketW',1
267,'ScriptStringFree',1
268,'EnumFontFamiliesExW',1
269,'SetEnhMetaFileBits',1
270,'CryptDestroyKey',1
271,'WriteFile',1
272,'GetLastError',1
273,'CryptDecodeObjectEx',1
274,'ExpandEnvironmentStringsW',1
275,'VariantClear',1
276,'gethostbyname',1
277,'SetWorldTransform',1
278,'SetPixelFormat',1
279,'EndDoc',1
280,'midiInAddBuffer',1
281,'WSACloseEvent',1
282,'lstrcmpiW',1
283,'VarUI4FromStr',1
284,'htonl',1
285,'Process32NextW',1
286,'sendto',1
287,'SetBrushOrgEx',1
288,'HeapAlloc',1
289,'EscapeCommFunction',1
290,'midiOutUnprepareHeader',1
291,'GlobalLock',1
292,'FlushConsoleInputBuffer',1
293,'LoadLibraryExA',1
294,'midiInClose',1
295,'GetStringTypeW',1
296,'waveInClose',1
297,'DestroyEnvironmentBlock',1
298,'waveOutGetDevCapsW',1
299,'ClosePrinter',1
300,'CertVerifyCertificateChainPolicy',1
301,'RegNotifyChangeKeyValue',1
302,'recv',1
303,'StartPage',1
304,'ModifyWorldTransform',1
305,'GetFileAttributesExW',1
306,'SetThreadToken',1
307,'WSAWaitForMultipleEvents',1
308,'GlobalFree',1
309,'DefineDosDeviceW',1
310,'VirtualFreeEx',1
311,'DeleteSecurityContext',1
312,'CryptGenKey',1
313,'GetStartupInfoW',1
314,'ExtTextOutW',1
315,'SetDCBrushColor',1
316,'setsockopt',1
317,'GetEnvironmentVariableA',1
318,'PathGetCharTypeW',1
319,'waveOutGetNumDevs',1
320,'GetCurrentThread',1
321,'CryptExportPublicKeyInfoEx',1
