,api name,counter
0,'WaitForSingleObjectEx',1
1,'FindFirstFileExW',1
2,'SetFilePointerEx',1
3,'GetCurrentThreadId',1
4,'CloseHandle',1
5,'GetConsoleMode',1
6,'KERNEL32.dll',1
7,'CreateProcessW',1
8,'WaitForInputIdle',1
9,'HeapReAlloc',1
10,'SetLastError',1
11,'FindFirstFileW',1
12,'GetFileType',1
13,'SetEvent',1
14,'GetCurrentProcessId',1
15,'RaiseException',1
16,'GetCurrentProcess',1
17,'EnumSystemLocalesW',1
18,'GetProcessHeap',1
19,'GetCommandLineW',1
20,'GetOEMCP',1
21,'GetModuleFileNameW',1
22,'MultiByteToWideChar',1
23,'AllowSetForegroundWindow',1
24,'WriteConsoleW',1
25,'GetLocaleInfoW',1
26,'FindNextFileW',1
27,'GetCommandLineA',1
28,'TlsAlloc',1
29,'GetStartupInfoW',1
30,'FindClose',1
31,'CreateFileW',1
32,'WideCharToMultiByte',1
33,'EnterCriticalSection',1
34,'ResetEvent',1
35,'FreeLibrary',1
36,'UnhandledExceptionFilter',1
37,'GetModuleHandleExW',1
38,'ExitProcess',1
39,'TerminateProcess',1
40,'GetStdHandle',1
41,'SetStdHandle',1
42,'EncodePointer',1
43,'RtlUnwind',1
44,'FreeEnvironmentStringsW',1
45,'GetEnvironmentStringsW',1
46,'LCMapStringW',1
47,'HeapFree',1
48,'FlushFileBuffers',1
49,'IsValidLocale',1
50,'IsProcessorFeaturePresent',1
51,'GetStringTypeW',1
52,'IsDebuggerPresent',1
53,'InitializeCriticalSectionAndSpinCount',1
54,'GetConsoleCP',1
55,'InitializeSListHead',1
56,'GetCPInfo',1
57,'GetProcAddress',1
58,'GetACP',1
59,'GetSystemTimeAsFileTime',1
60,'SetUnhandledExceptionFilter',1
61,'TlsFree',1
62,'TlsGetValue',1
63,'DecodePointer',1
64,'USER32.dll',1
65,'TlsSetValue',1
66,'DeleteCriticalSection',1
67,'QueryPerformanceCounter',1
68,'HeapSize',1
69,'IsValidCodePage',1
70,'GetModuleHandleW',1
71,'LoadLibraryExW',1
72,'LeaveCriticalSection',1
73,'GetUserDefaultLCID',1
74,'GetLastError',1
75,'CreateEventW',1
76,'HeapAlloc',1
77,'WriteFile',1
