,api name,counter
0,'ne,8
1,'QuerySecurityPackageInfoW',1
2,'VirtualAllocEx',1
3,'GetWorldTransform',1
4,'ImmGetContext',1
5,'IntersectClipRect',1
6,'d3d9.dll',1
7,'SetWindowDisplayAffinity',1
8,'UpdateLayeredWindowIndirect',1
9,'InitializeSecurityContextW',1
10,'HeapFree',1
11,'EnumDisplaySettingsExW',1
12,'HeapLock',1
13,'GDI32.dll',1
14,'GetProcessHandleCount',1
15,'GetParent',1
16,'PlayEnhMetaFileRecord',1
17,'ShowWindow',1
18,'SetLayeredWindowAttributes',1
19,'PathFindFileNameW',1
20,'CreateDirectoryW',1
21,'GetGeoInfoW',1
22,'CancelIPChangeNotify',1
23,'SetBkMode',1
24,'SymGetSearchPathW',1
25,'SwitchToThread',1
26,'IsProcessInJob',1
27,'GetModuleHandleA',1
28,'WerReportCloseHandle',1
29,'GetCommandLineW',1
30,'av_image_check_size',1
31,'VirtualProtectEx',1
32,'WerRegisterFile',1
33,'UnregisterDeviceNotification',1
34,'CreateHardLinkW',1
35,'ReadDirectoryChangesW',1
36,'UiaRaiseAutomationPropertyChangedEvent',1
37,'GetWindowThreadProcessId',1
38,'CreateDIBitmap',1
39,'Shell_NotifyIconW',1
40,'SetFileAttributesW',1
41,'EndPath',1
42,'SetCursorPos',1
43,'SymInitialize',1
44,'DwmGetWindowAttribute',1
45,'GetFileAttributesW',1
46,'WerReportAddDump',1
47,'IsWindowEnabled',1
48,'ExitProcess',1
49,'ReOpenFile',1
50,'SelectClipRgn',1
51,'WindowFromAccessibleObject',1
52,'SetPropW',1
53,'RemoveDirectoryW',1
54,'SetWinEventHook',1
55,'SetEndOfFile',1
56,'WaitNamedPipeW',1
57,'WerReportCreate',1
58,'CancelIoEx',1
59,'GdiAlphaBlend',1
60,'GetModuleHandleW',1
61,'LoadLibraryA',1
62,'SetArcDirection',1
63,'waveOutPause',1
64,'WSACloseEvent',1
65,'HidD_GetProductString',1
66,'QueryDepthSList',1
67,'midiOutLongMsg',1
68,'GetErrorMode',1
69,'PowerCreateRequest',1
70,'DocumentPropertiesW',1
71,'send',1
72,'DwmGetColorizationColor',1
73,'ImmGetConversionStatus',1
74,'avcodec_flush_buffers',1
75,'CertAddCertificateContextToStore',1
76,'WinHttpOpen',1
77,'DwmDefWindowProc',1
78,'SetTextColor',1
79,'CloseThreadpoolWork',1
80,'GetVolumePathNameW',1
81,'dxva2.dll',1
82,'dxgi.dll',1
83,'LockResource',1
84,'GetDesktopWindow',1
85,'CancelSynchronousIo',1
86,'GetDriveTypeW',1
87,'VerSetConditionMask',1
88,'RtlCaptureContext',1
89,'GetNativeSystemInfo',1
90,'av_max_alloc',1
91,'RtlUnwind',1
92,'SetROP2',1
93,'WakeConditionVariable',1
94,'GetDoubleClickTime',1
95,'DeleteFileA',1
96,'EncodePointer',1
97,'SetConsoleCursorInfo',1
98,'GetEnvironmentVariableW',1
99,'OpenProcess',1
100,'FillPath',1
101,'GetModuleHandleExA',1
102,'COMCTL32.dll',1
103,'ChangeWindowMessageFilterEx',1
104,'GetCaretBlinkTime',1
105,'SHGetSpecialFolderPathW',1
106,'GetCurrentProcessExplicitAppUserModelID',1
107,'GetCommModemStatus',1
108,'SetWindowPos',1
109,'ChoosePixelFormat',1
110,'waveOutRestart',1
111,'__WSAFDIsSet',1
112,'GetCPInfo',1
113,'av_init_packet',1
114,'GlobalFree',1
115,'GetAddrInfoW',1
116,'HeapDestroy',1
117,'UxTheme.dll',1
118,'ConnectNamedPipe',1
119,'CRYPT32.dll',1
120,'GetRegionData',1
121,'UnregisterHotKey',1
122,'GetDiskFreeSpaceExW',1
123,'HidD_GetSerialNumberString',1
124,'CryptInstallOIDFunctionAddress',1
125,'GdiFlush',1
126,'WSASetEvent',1
127,'CancelIo',1
128,'ImmGetCompositionStringW',1
129,'midiOutGetNumDevs',1
130,'SafeArrayPutElement',1
131,'VarCmp',1
132,'CreateSemaphoreW',1
133,'FlashWindowEx',1
134,'QueueUserWorkItem',1
135,'GetClipBox',1
136,'ntohl',1
137,'SetKeyboardState',1
138,'avformat_open_input',1
139,'av_seek_frame',1
140,'WSAIoctl',1
141,'GetVersionExW',1
142,'GetActiveWindow',1
143,'WaitCommEvent',1
144,'avformat_find_stream_info',1
145,'GetTimeZoneInformation',1
146,'GetAncestor',1
147,'InitializeCriticalSectionEx',1
148,'SafeArrayUnaccessData',1
149,'FreeContextBuffer',1
150,'BeginDeferWindowPos',1
151,'CreateBitmap',1
152,'NotifyAddrChange',1
153,'CharNextW',1
154,'CreateFileA',1
155,'SymCleanup',1
156,'GetPriorityClass',1
157,'GetOEMCP',1
158,'EnterCriticalSection',1
159,'av_packet_unref',1
160,'GetQueuedCompletionStatusEx',1
161,'EnumEnhMetaFile',1
162,'DhcpCApiInitialize',1
163,'Shell_NotifyIconGetRect',1
164,'DwmSetWindowAttribute',1
165,'InitializeSecurityContextA',1
166,'av_frame_alloc',1
167,'GetProcessHeaps',1
168,'GetCursorPos',1
169,'K32GetModuleInformation',1
170,'GetLocaleInfoEx',1
171,'ExpandEnvironmentStringsW',1
172,'GetUserDefaultLocaleName',1
173,'GetPropW',1
174,'avformat_alloc_context',1
175,'av_read_frame',1
176,'DeleteTimerQueueTimer',1
177,'TlsAlloc',1
178,'HidP_GetButtonCaps',1
179,'LoadResource',1
180,'K32EnumProcessModules',1
181,'ScriptItemize',1
182,'GetThreadPreferredUILanguages',1
183,'GetKeyboardState',1
184,'WinHttpConnect',1
185,'GetLastInputInfo',1
186,'WinHttpReceiveResponse',1
187,'SleepEx',1
188,'OpenPrinterW',1
189,'WINMM.dll',1
190,'MonitorFromRect',1
191,'GlobalUnlock',1
192,'AssignProcessToJobObject',1
193,'GetTimeFormatW',1
194,'StartDocW',1
195,'RegisterHotKey',1
196,'av_malloc',1
197,'OffsetRect',1
198,'DwmGetCompositionTimingInfo',1
199,'GetAsyncKeyState',1
200,'WriteConsoleW',1
201,'GetRawInputDeviceList',1
202,'InitCommonControlsEx',1
203,'EnumDisplaySettingsW',1
204,'SetGraphicsMode',1
205,'IsDBCSLeadByte',1
206,'IPHLPAPI.DLL',1
207,'CertGetIntendedKeyUsage',1
208,'CallNextHookEx',1
209,'GetObjectW',1
210,'WaitForSingleObject',1
211,'DrawEdge',1
212,'EnableMenuItem',1
213,'InitializeSRWLock',1
214,'WideCharToMultiByte',1
215,'IsValidLocale',1
216,'CreateCaret',1
217,'av_get_cpu_flags',1
218,'DXVA2CreateDirect3DDeviceManager9',1
219,'GetSystemInfo',1
220,'ClosePrinter',1
