,api name,counter
0,'WaitForSingleObjectEx',1
1,'GetOEMCP',1
2,'SetLastError',1
3,'GetProcessHeap',1
4,'FindFirstFileExW',1
5,'GetCurrentThreadId',1
6,'CloseHandle',1
7,'GetConsoleMode',1
8,'KERNEL32.dll',1
9,'CreateProcessW',1
10,'HeapReAlloc',1
11,'FindFirstFileW',1
12,'GetFileType',1
13,'SetEvent',1
14,'GetCurrentProcessId',1
15,'RaiseException',1
16,'GetCurrentProcess',1
17,'EnumSystemLocalesW',1
18,'TerminateProcess',1
19,'ADVAPI32.dll',1
20,'GetCommandLineW',1
21,'AllowSetForegroundWindow',1
22,'GetModuleFileNameW',1
23,'MultiByteToWideChar',1
24,'FlushFileBuffers',1
25,'WriteConsoleW',1
26,'GetLocaleInfoW',1
27,'FindNextFileW',1
28,'GetCommandLineA',1
29,'TlsAlloc',1
30,'GetStartupInfoW',1
31,'FindClose',1
32,'WaitForInputIdle',1
33,'WideCharToMultiByte',1
34,'EnterCriticalSection',1
35,'ResetEvent',1
36,'FreeLibrary',1
37,'UnhandledExceptionFilter',1
38,'GetModuleHandleExW',1
39,'GetStdHandle',1
40,'IsProcessorFeaturePresent',1
41,'TlsGetValue',1
42,'IsValidLocale',1
43,'RtlUnwind',1
44,'FreeEnvironmentStringsW',1
45,'TlsSetValue',1
46,'LCMapStringW',1
47,'HeapFree',1
48,'ExitProcess',1
49,'SetStdHandle',1
50,'GetStringTypeW',1
51,'GetACP',1
52,'IsDebuggerPresent',1
53,'InitializeCriticalSectionAndSpinCount',1
54,'GetConsoleCP',1
55,'InitializeSListHead',1
56,'GetEnvironmentStringsW',1
57,'GetCPInfo',1
58,'GetProcAddress',1
59,'EncodePointer',1
60,'GetSystemTimeAsFileTime',1
61,'DecodePointer',1
62,'IsValidCodePage',1
63,'USER32.dll',1
64,'SystemFunction036',1
65,'CreateFileW',1
66,'DeleteCriticalSection',1
67,'QueryPerformanceCounter',1
68,'SetFilePointerEx',1
69,'HeapSize',1
70,'GetModuleHandleW',1
71,'SetUnhandledExceptionFilter',1
72,'LoadLibraryExW',1
73,'LeaveCriticalSection',1
74,'GetUserDefaultLCID',1
75,'GetLastError',1
76,'CreateEventW',1
77,'HeapAlloc',1
78,'TlsFree',1
79,'WriteFile',1
